Category,Topic,Key_Metric,Value,Unit,Source_Page,Notes
Market Consolidation,MiX-Powerfleet Merger,Combined Revenue,285,Million USD,Page 165,Merger closed April 2024
Market Consolidation,MiX-Powerfleet Merger,Combined Subscribers,1900000,Subscribers,Page 165,Global subscribers
Market Consolidation,MiX-Powerfleet Merger,Combined Employees,1800,Employees,Page 165,Worldwide
Market Consolidation,Powerfleet-Fleet Complete,Combined Subscribers,2600000,Subscribers,Page 171,Acquisition October 2024
Market Consolidation,Powerfleet-Fleet Complete,Expected Revenue,400,Million USD,Page 171,Combined entity
OEM Integration,MiX OEM Connect,Supported Manufacturers,6,OEMs,Page 168,Ford Hino International Isuzu Scania Mercedes
Platform Technology,Powerfleet Unity,Manufacturers Supported,130,Manufacturers,Page 171,Device ingestion engine
Platform Technology,Powerfleet Unity,IoT Devices Supported,550,Devices,Page 171,Telematics devices
Platform Technology,Powerfleet Unity,Protocols Supported,350,Protocols,Page 171,Communication protocols
Fortune 500 Penetration,Powerfleet Customers,Automotive Top 10,6,Customers,Page 173,60% penetration rate
Fortune 500 Penetration,Powerfleet Customers,Transport & Logistics Top 5,4,Customers,Page 173,80% penetration rate
Regional Market,MiX Americas,Active Units Low,108000,Units,Page 169,Estimated range
Regional Market,MiX Americas,Active Units High,115000,Units,Page 169,Estimated range
Regional Market,MiX Brazil,Bus & Coach Vertical,30000,Buses,Page 169,Major growth vertical
Fleet Size Focus,MiX Telematics,Large Fleet Percentage,92,Percent,Page 168,Fleets with 50+ vehicles
Solera Overview,Total Company,Total Revenue FY-2024,2400,Million USD,Page 174,All segments
Solera Overview,Fleet Solutions,Segment Revenue FY-2024,561.6,Million USD,Page 174,Fleet Solutions only
Solera Overview,Fleet Solutions,Segment Revenue FY-2023,600.5,Million USD,Page 174,Prior year comparison
Solera Market Share,Installed Base,Americas Fleet Systems,1000000,Units,Page 182,Approximately
Solera Market Metrics,Global Operations,Fleet Routes Monitored,50000000,Routes,Page 182,Annually
Solera Market Metrics,Global Operations,Driver Miles Monitored,25000000000,Miles,Page 182,Annually
Teletrac Navman,Global Fleet,Total Vehicles and Assets,700000,Units,Page 186,More than
Teletrac Navman,Americas Market,Installed Base,200000,Units,Page 186,Approximately
Teletrac Navman,Connected Services,OEM Units,350000,Units,Page 186,Sub-brand
Trimble Overview,Company Revenue,Total Revenue 2023,3800,Million USD,Page 187,All segments
Trimble Overview,Transportation Segment,Revenue Percentage,20,Percent,Page 187,Of total 2023 revenue
Trimble Divestiture,Platform Science Deal,Telematics Revenue TTM,300,Million USD,Page 188,Trailing twelve months
Trimble Divestiture,Platform Science Deal,ARR Q2-2024,200,Million USD,Page 188,Annualized recurring revenue
Trimble Divestiture,Platform Science Deal,Trimble Ownership,32.5,Percent,Page 188,Post-transaction stake
