Company,Headquarters,Primary Regions,Market Position,Key Characteristics
Geotab,Canada,Global - Americas Europe APAC Africa,Leading global provider,4.5M+ subscriptions - hardware-agnostic platform
Verizon Connect,United States,Americas Europe,Major player,US/Canada based
Solera Fleet Solutions,United States,Americas,Major player,US/Canada based
Trimble,United States,Americas Global,Major player,Acquired by Platform Science
Gurtam,Lithuania,Global - Strong in Latin America,Growing presence,4M+ units on Wialon - software platform provider
MICHELIN Connected Fleet,United Kingdom,Americas Europe,Major player,687K connected vehicles - Michelin subsidiary
Fleet Complete,Canada,Americas Europe Australasia,Major player,606K subscribers - acquired by Powerfleet Oct 2024
Powerfleet,United States,Global,Major player,Acquired Fleet Complete and MiX Telematics
Teletrac Navman,United States,Americas Latin America,Active,North American with Latin American presence
KORE Position Logic,United States,Americas focused,Platform provider,160K assets - 75% in Latin America
Webfleet,Europe,Americas Europe,European leader,Now part of Bridgestone Mobility Solutions
MiX by Powerfleet,South Africa,Global,Major player,Formerly MiX Telematics - 687K vehicles
