Company,Units in Service,Geographic Focus,Year of Data,Target Markets,Pricing Information,Notes
ORBCOMM,102000,United States,Early 2021,Heavy equipment OEMs|Aftermarket,N/A,Many devices installed by OEM customers
Trimble,10000,N/A,N/A,Field Service Management group,N/A,Approximate units through FSM group
EquipmentShare,50000,United States,N/A,Construction|Industrial sectors all sizes,Average hardware $220; Monthly service varies,Estimate by C.J. Driscoll & Associates
ZTR Control Systems,40000,North America,2018,Rental companies|OEMs|Construction companies,N/A,One of largest aftermarket suppliers in North America
ZTR Control Systems,300000,Global,End of 2019,Rental companies|OEMs|Construction companies,N/A,Per KHL Group; Acquired by Trackunit Sept 2021
Verizon Connect,40000+,N/A,N/A,Off-road vehicles and assets,N/A,Uses Reveal platform (originally Fleetmatics)
CalAmp,35000+,N/A,N/A,Construction OEMs|Dealers|Rentals|Contractors,N/A,AssetOutlook product
LHP Telematics,45000-50000,Mostly U.S.,N/A,Heavy equipment OEMs|Equipment dealers,Hardware $100-$500+; Flagship TP1 <$200,Serves 20 OEMs and 210 dealers
Teletrac Navman,13000-15000,N/A,N/A,Off-road vehicles and assets,N/A,Heavy equipment installed base estimate
Trackunit,500000+,Global (25% North America),Present,Companies with 100+ assets (250 optimal)|OEMs,Monthly service mid-to-high teens; Average hardware $225,25% use mobile apps; North America ~25% of business
Topcon Tierra,N/A,N/A,N/A,Heavy equipment OEMs primarily,N/A,Founded 2009; Primarily active with OEMs
Industry Average Pricing,N/A,N/A,N/A,Heavy construction equipment,~$30/month SaaS (hardware + service),Per industry sources
