Customer,Type,Application,Deployment Details
Amazon,Fleet operator,Commercial delivery,Camera products
UPS,Fleet operator,Commercial delivery,Camera products
Federal Express,Fleet operator,Commercial delivery,Camera products
U.S. Postal Service,Fleet operator,Mail delivery,Camera products
Canada Post,Fleet operator,Mail delivery,Camera products
New York City,Government fleet,Vision Zero Initiative pilot,1500 vehicles with 360-degree cameras (Phase 1 by end of year)
Navistar,Vehicle manufacturer,School bus OEM,Mirror supplier
Thomas Built,Vehicle manufacturer,School bus OEM,Mirror supplier
Blue Bird,Vehicle manufacturer,School bus OEM,Mirror supplier
Paccar,Vehicle manufacturer,Commercial vehicle OEM,Camera systems
Mack,Vehicle manufacturer,Commercial vehicle OEM,Camera systems
Morgan Olson,Vehicle upfitter,Commercial vehicle upfitter,Camera systems
Oshkosh,Vehicle manufacturer,Commercial vehicle OEM,Camera systems
Utilimaster,Vehicle upfitter,Commercial vehicle upfitter,Camera systems
Geotab,Telematics provider,Solutions marketplace,Reseller
