Company,Vertical_Market,Specialization_Level,Unique_Features,Market_Share_Indicator,Source_Page
GPS Trackit,Heavy Construction Equipment,Significant presence,Asset tracking for yellow iron,Significant presence noted,126
GPS Trackit,Government Fleets,Target via channel,GSA Schedule listed / Sells through cellular carriers,Listed on GSA,126
Spireon,Sub-Prime Auto Finance,Largest supplier,3.5M total tracking units / Largest in North America aftermarket,Largest supplier,128
Spireon,Consumer Automotive Finance,Primary market,LenderOutlook for Buy-Here-Pay-Here,500K-600K units,135
Spireon,Small/Mid Trucking Fleets,Target,FleetLocate Compliance with ELD,Part of 120K fleet units,128
NexTraq,HVAC,Target vertical,Wide range of service industries,Customer examples,131
NexTraq,Emergency Medical Services,Target vertical,Municipal and county services,Customer: Shelby County TN,131-132
NexTraq,Crane Rental,Enterprise customer,Heavy equipment monitoring,Customer: Maxim Crane 2400+ units,132
CalAmp,School Bus Fleets,Via Synovia acquisition,Synovia dedicated solution,Major presence via acquisition,134
CalAmp,State and Local Government,Via Synovia acquisition,Synovia dedicated solution,Major presence via acquisition,134
CalAmp,Heavy Construction Equipment,Caterpillar partnership,Ruggedized wireless routers,35K units / Largest customer,135
CalAmp,Cargo Monitoring,SC iOn solution,Supply chain visibility,40K units,135
Pedigree Technologies,Oil and Gas,Specialized,Mobile and fixed tank monitoring,Core vertical,136
Pedigree Technologies,Construction,Specialized,Equipment management,Core vertical,136
Pedigree Technologies,Heavy Equipment Rental,Target,Asset and fleet integration,Core vertical,136
IntelliShift,Utility Fleets,Specialized,Larger operators 500+ assets,Core vertical,138
IntelliShift,Construction,Specialized,Diverse asset types,Core vertical,138
Forward Thinking Systems,Government Fleets,Strong presence,California OBD-II smog check program,Balanced distribution,145
Fleetilla,Heavy Construction Equipment,Specialized,AEMP data integration,Core capability,146
Fleetilla,Custom Verticals,Systems integration,"Custom hardware, firmware, sensor solutions",Differentiator,146
Rhino Fleet Tracking,Porta-Potty Monitoring,Niche specialization,GPS assistance for difficult-to-track assets,Specific niche,148
Insight Mobile Data,EMS/Healthcare,Highly specialized,Solutions tailored to industry,Primary specialization,149
Insight Mobile Data,Waste Disposal,Highly specialized,Solid and liquid waste,Primary specialization,149
Insight Mobile Data,Pest Control,Highly specialized,Industry-specific features,Primary specialization,149
Insight Mobile Data,Construction,Heavy concentration,"Residential, commercial, heavy construction, trades",Heavy concentration,149
