Provider,Solution_Name,Key_Features,Launch_Year,Supported_EV_Models,Strategic_Rationale,Partners
Geotab,Electric Vehicle Suitability Assessment (EVSA),"Identify ideal EV candidates, financial forecasts, model selection guidance",2020,300+ hybrid and electric models,"Acquired FleetCarma (EV telematics specialist) 2018; aspire to leadership in EV fleet management",N/A
Webfleet (Bridgestone),EV Services Platform,Remote insights into electric and hybrid vehicles; maximise cost-saving potential,2020 (enhanced features),N/A,Support fleet electrification and cost optimization,Integrated with Webfleet and Azuga; various e-mobility ecosystem partners
MICHELIN Connected Fleet,MoveElectric,Guide fleets through planning and transition; support EV operations,N/A,N/A,Commercial fleet electrification planning and operations,N/A
Teletrac Navman,Electric Vehicle Evaluator (EVE),"Predictive analytics, telematics data for real-world energy transition plan; global consulting service (Oct 2024)",2024,N/A,Help fleets transition to electric vehicles; produce full decarbonisation strategies,Expert team support
Verizon Connect,EV Summary Report + EV Suitability Tool,Support customer EV adoption and sustainability goals,N/A,N/A,Meet customer sustainability objectives,N/A
Fleet Complete,OEM Connected EV Support,Comprehensive EV data directly from OEM connected vehicles; unified fleet management (EV + ICE),Apr 2024,Select OEM EV models,Integrated insights from OEM EVs and ICE vehicles in single platform,North America OEM partnerships
Samsara,AI Dash Cams + EV support,Integrated video with EV fleet management,N/A,N/A,Major growth driver for platform,Native integration
Ford,E-Telematics,"Real-time range and charge status, remote preconditioning, home-charging reimbursement",N/A,Ford EVs,Support Ford Pro customers with EV adoption,Part of Ford Pro Intelligence
GM,OnStar Connected Plan,"Charging status, route planning, charge reimbursement",N/A,GM EVs,Support GM fleet customers with EV transition,OnStar ecosystem
WEX,WEX EV Solutions,"Decide what vehicles to replace, pay for charging and fuel with one credit line, integrated reporting",N/A,All makes,Help customers transition from ICE to EV; unified billing,Fuel card + charging integration
Bridgestone Mobility Solutions,EV Services Platform (2024),Integrated with Webfleet and Azuga,2024,N/A,E-mobility ecosystem integration,Webfleet and Azuga integration
