Technology,Capability,Performance_Metric,Details
Machine Vision + AI (MV+AI),Driving data analysis,130+ billion miles,Largest and fastest-growing database
Machine Vision + AI (MV+AI),Accuracy,95%+ accuracy,Unmatched in industry per company
Professional Analysts,Video evaluation,Combined with MV+AI,Ensures relevant and actionable clips
Video Storage,On-device storage,100 hours searchable,Stored on DriveCam device
Video Access,Real-time viewing,Within minutes,Via Lytx Video Platform
Camera Support,Auxiliary cameras,Up to 4 cameras,Positioned around vehicle
Integration,Geotab,Single interface,January 2020 announcement
Log Auditing,Compliance logs,10 million per month,Largest log auditor in industry
Log Consolidation,Multiple formats,Paper/time records/ELD data,First company with integrated solution
Compliance Services,Top carrier coverage,50%+ of top 100 for-hire carriers,US market
Pre-wiring Partnerships,Mack Trucks,Pre-wiring available,
Pre-wiring Partnerships,Fontaine,Pre-wiring available,
