Category,Metric,Value,Year,Notes
Company Overview,Location,Peoria IL,2021,
Company Overview,Market Position,World leading construction/mining equipment manufacturer,2021,
Company Overview,US Market Share Historical,35%,2021,Construction equipment approximate
Product Portfolio,Product Link Launch,2002,2002,GPS-based monitoring
Product Portfolio,Standard Equipment Rollout,2008,2008,Most core mining and industrial
Product Portfolio,Cat Connect Solutions Launch,2013,2013,Technology framework
Product Portfolio,Cat Connect Pillars,4,2013,Equipment management productivity safety sustainability
Product Portfolio,Cat Remote Services,Remote Troubleshoot and Flash,2021,Dealer diagnostic capabilities
Product Portfolio,Remote Flash,Software updates,2021,No technician visit needed
Product Portfolio,CAT Link Technology,GPS cellular/satellite ECM connectivity,2021,
Market Position,Connected Assets Global,1000000,2020,Approximately
Market Position,Construction Revenues North America,43.5%,2020,Percentage of total
Financials,Global Revenues 2020,41700,2020,USD millions
Financials,Global Revenues 2019,53800,2019,USD millions
Financials,Construction Sales Change 2020,-25%,2020,Mostly COVID impact
Partnership,Trimble VisionLink,Discontinued,2021,Except existing customer service
Technology,Data Sources,ECM GPS cellular satellite,2021,Integrated connectivity
Features,Equipment Management,Location health efficiency tracking,2021,Daily loads volumes
Features,Productivity,Near real-time monitoring,2021,Fewer passes less guesswork
Features,Safety,Location speed avoidance zones,2021,Precise tracking
Features,Sustainability,Environmental impact compliance reporting,2021,
