Company,Metric,Value,Unit,Date,Details
Solera,Total Employees,7500,Employees,End of 2023,Approximately
Solera,Global Customers,280000,Customers,2024,Over 280k global customers and partners
Solera,Countries Served,120,Countries,2024,More than 120 countries
Solera,Total Revenue,2400,Million USD,FY-2024,Fiscal year ending March 2024
Solera,Fleet Solutions Revenue,561.6,Million USD,FY-2024,Fleet Solutions segment
Solera,Fleet Solutions Revenue,600.5,Million USD,FY-2023,Fleet Solutions segment (prior year)
Solera,Revenue Change,-38.9,Million USD,FY-2024 vs FY-2023,Down from prior year
Solera,Headquarters,Westlake Texas,Location,2024,USA
Solera,IPO Status,Filed,Status,2024,Filed for IPO in 2024
Solera,Operating Segments,4,Segments,2024,Vehicle Claims Solutions Repairs Fleet
