Product_Service,Type,Launch_Date,Features,Source_Page
Reveal Platform,Software Platform,Post-2018,Integrated Networkfleet Telogis Fleetmatics platforms,109
Fleetmatics WORK,Field Service Management,~5 years ago,Field service management solution,110
Reveal Field,Field Service Dispatch,2019,"Simple scheduling easy dispatching customer notifications technician mobile app live map integration",110
Verizon Connect Integrated Video,Smart Video Solution,March 2020,"AI-based video classification forward and driver facing cameras machine learning",110
Roadside Assistance,Service Feature,2019,"24/7 assistance for towing locksmith battery boost fuel delivery winch service tire change",110
V2 OBD-II Device,Hardware,Current,ECM data capture with 30-second updates,110
Hum,Consumer Plug & Play,Partnership,Consumer vehicle tracking solution,110
ELD Solution,Compliance,Pre-2017,Electronic Logging Device for Hours of Service,111
Asset Tracking,Asset Management,Current,"Powered and unpowered assets trailers generators containers",111
Reveal Starter,Entry-level Solution,December 2020,Plug-and-play for fleets with 1-9 vehicles,111
Distribution,Verizon Retail Stores,December 2020,1400 corporately-owned stores,111
