Company,Technology_Platform,Key_Customers,Market_Segment,Notes
Geotab,Fleet telematics,GSA Fleet (217000 vehicles),Federal Government,Largest single-source telematics contract
Geotab,Fleet telematics,State of California,State Government,Single-source BPA
Geotab,Fleet telematics,Global government agencies (250000 vehicles),Government Global,April 2021
Geotab,Fleet telematics,Enterprise Truck Rental,Rental,Partnership
Geotab,Fleet telematics,Ryder Truck Rental,Rental,Partnership for ELDs
Geotab,FedRAMP Certified,Yes,Federal Government,Increased federal deployment expected
PowerFleet (I.D. Systems),Rental fleet management,Avis Budget Group (125000 units),Car Rental,Wireless in-vehicle management
PowerFleet,Trailer and asset monitoring,Commercial,Transportation,Significant supplier
Verizon Connect,Fleet management,Municipal and state fleets,Government,Significant presence
GPS Insight,Fleet management,State of Louisiana,State Government,
GPS Insight,Fleet management,Commonwealth of Massachusetts,State Government,
GPS Insight,Fleet management,County of San Mateo CA,County Government,
GPS Insight,Fleet management,City of Pasadena CA,Municipal Government,
Lytx,DriveCam driver monitoring,Manatee County FL EMS (44 vehicles),Government EMS,
AT&T,Cellular connectivity,USPS (GPS requirement),Federal Government,Data plan provider
ORBCOMM,Satellite/Cellular,USPS (GPS hardware),Federal Government,Hardware and tracking
ORBCOMM,Telematics,Veterans Affairs (via Kevadiya),Federal Government,Veterans Transportation Service
Omnitracs,Satellite/Cellular tracking,Truckload carriers,Trucking,Tens of thousands of satellite units
Qualcomm,Omnitracs,Truckload market,Trucking,Introduced 1988 - first MRM solution
KORE Wireless,MVNO IoT platform,3 million+ subscribers 1500+ customers,Multiple,Largest independent network services provider
Aeris,Cellular network operator,15 million+ devices (10M+ US),Multiple,IoT and M2M connectivity
Penske,Connected fleet,50000+ vehicles,Truck rental leasing logistics,Device-neutral platform
