Component,Specification,Details
Camera Support,Up to 9 cameras,Includes existing cameras
Video Capture,10-second events,Before and after event
Review Center Response,2 hours,Faster than competitors per company
Recording Option,Continuous recording,Optional feature
Trigger Types,4 methods,"Speeding, shock/maneuvers, ADAS systems, manual driver activation"
Hardware Architecture,Single box,All in-vehicle hardware consolidated
ECM Data Access,Enhanced,Can pull more data than competitors per company
User Interface,Simple design,Claimed advantage over competitors
Integration Partner,Geotab,Combined hardware in single device with GPS fleet management
Integration Features,Data alignment,Real-time/historical location/speed/geofencing/compliance
ADAS Integration,WABCO OnLane,Lane Departure Warning System
Manufacturing,China office,COVID-19 slowed productivity
