Industry_Segment,Trend_or_Challenge,Impact,Year,Source,Details
Landscaping,Quality labor shortage,Greatest concern,2018,Lawn & Landscape survey,15000+ subscribers surveyed
Towing,Insurance coverage,Risk management,2021,Insurance Journal,Fewer carriers willing to cover due to risk levels
Towing,Motor club requirements,Technology adoption driver,2021,MRM Report,Roadside assistance providers encourage/require GPS tracking
Waste Disposal,Industry concentration,Market consolidation,2020,Waste Today,Top 40 companies account for 66% of revenue
Courier,E-commerce growth,Market expansion,2020,Company reports,14.2% UPS revenue growth; Amazon building own fleet
Courier,COVID-19 pandemic,Accelerated growth,2020,Multiple sources,Surge in package delivery demand
Courier,Grocery delivery expansion,New market,2021,The Motley Fool,Uber serving 400 cities; Albertsons deal
Courier,Electric vehicle transition,Fleet transformation,2020-2030,Business Insider,Amazon ordered 100000 Rivian EVs
Pest Control,Revenue growth,Market expansion,2020,IBIS World,4% annual growth rate
Taxi,Ride-hailing competition,Industry disruption,2012-2021,Multiple sources,Taxi count dropped from 190000 to 125000
Taxi,Medallion value decline,Economic impact,2019,New York Times,Over 950 NYC medallion owners filed bankruptcy
Taxi,COVID-19 pandemic,Severe revenue decline,2020,IBIS World,35.5% decline in 2020
Limousine,COVID-19 pandemic,Industry devastation,2020,nycviplimo.com,Market declined from $83B to $46.7B (nearly 50%)
Limousine,Fleet reduction,Cost cutting,2020,nycviplimo.com,Business volume down 75%; many sold half their fleets
School Bus,COVID-19 pandemic,Sales decline,2020,School Bus Fleet,Sales dropped from 40714 to 32381 units
Public Transit,COVID-19 pandemic,Service cuts and funding crisis,2020,APTA,65% cut service; 28% delayed/cancelled capital projects
Motorcoach,COVID-19 pandemic,Industry collapse,2020,ABA,Revenue dropped from $15B to $2.6B; 83% workers unemployed
Paratransit,Americans with Disabilities Act,Market growth driver,1995-2018,APTA,Trips grew from 88M to 204M
Paratransit,Ride-hailing partnerships,Service delivery innovation,2020-2021,Multiple sources,Transit agencies partnering with Uber/Lyft for cost savings
Utilities,Smart grid and field automation,Technology adoption,2017-2021,Survey data,50%+ using GPS; field force automation growing
Telecom,5G deployment,Capital investment,2020-2021,Industry reports,Infrastructure expansion driving fleet activity
Construction,COVID-19 site closures,Revenue decline,2020,MRM Report,Ready-mix down 12.7%
Construction,Labor shortage,Hiring challenge,2021,Industry reports,Ongoing skilled labor challenges
Trucking,Driver shortage,Industry constraint,2019-2021,American Trucking Association,Chronic shortage limiting growth
Trucking,ELD mandate compliance,Regulatory requirement,2017-2021,FMCSA,Mandatory for interstate commerce
All Segments,GPS/telematics adoption,Technology penetration,2017-2021,Multiple sources,Varying rates by segment (30-91%)
All Segments,Driver safety focus,Risk management,2021,Multiple sources,Camera systems and behavior monitoring growing
All Segments,Electric vehicle transition,Fleet transformation,2020-2030,Multiple sources,Industry-wide shift beginning
