Company,Target_Markets,Est_UIS_Nov_2018,Est_UIS_Jul_2021,Geographic_Scope,Monthly_Pricing_Low,Monthly_Pricing_High,Contract_Terms,Source_Page
Geotab,Enterprise and SMB (white labeled),1000000 US / 1400000 Global,1900000 US / 2500000 Global,Global,Pricing determined by resellers,Pricing determined by resellers,Determined by resellers,140
Verizon Connect,"SMB, enterprise, government, ELDs, asset tracking, field service, OEMs",1600000 US,1750000 US / 2200000 Global,Global,$23,$28,2-3 years ($150 activation fee),140
Samsara,"Food & beverage, freight, distribution, manufacturing, oil & gas, construction, energy, education, local government, field service, retail, transit",200000 US,700000 US,US,$468 per year (all-inclusive),N/A,Annual license,140
Fleet Complete,"Government, emergency response, ELDs, freight, delivery, construction, field service",220000 US / 500000 Global,330000 US / 600000 Global,Global,$20 (basic),$59 (tracking+ELD+PTT),AT&T bundled,140
Azuga,"Service and delivery fleets, government road usage, usage-based insurance",100000,260000,US,$22.99,$22.99,2 years,140
Teletrac Navman Director,"Trucking/transportation, construction, SMB, government",250000 US / 550000 Global,250000 US / 550000 Global,Global,$30,$55,3 years (hardware bundled),140
ORBCOMM,"Trucking, oil & gas, government, trailers & containers, heavy equipment",185000 US,207000 US,US,Varies,Varies,Varies,140
Linxup,"Small to mid-size fleets, asset tracking, personal tracking, yellow iron, trailers, containers",150000,195000,US,$22.99,$22.99,"No contract, 2-year, or 3-year",141
GPS Insight,"Local service and delivery, enterprise, government, construction, ELDs, field service",137000,175000 (225000 with acquisitions),US,$20,$29,Standard,141
GPS Trackit,"Energy, construction, municipal government, services",125000,150000,US and Latin America,$23.95,$23.95,No contract (hardware included),141
Spireon FleetLocate,"Fleet SMB, enterprise, trailer/container, sub-prime dealer finance",100000+,120000,US,$8,$36,Varies,141
NexTraq,"Service, EMS, transit, trucking, distribution, construction, oil & gas, government",120000,120000,US,$27.95,$27.95,3 years (hardware bundled),141
CalAmp,"Telecom, utilities, oil & gas, field service, government",70000-80000,100000,US,Wide range,Wide range,Varies,141
Pedigree Technologies,"Oil & gas, construction, equipment rental, service, transportation",70000,100000+ (40000 ELDs),US and international,$20,$30 typical,Standard,142
IntelliShift (formerly VTS),"Field service, utility, construction, delivery",80000,100000,US,Depends on package,Depends on package,Varies,142
