Category,Metric,Value,Year,Notes
Company Overview,Location,Dallas TX,2021,
Company Overview,Market Position,One of largest in-cab fleet management suppliers,2021,US for-hire and private trucking
Product Portfolio,Trailer Monitoring Launch,2004,2004,
Product Portfolio,TT150 Launch,2016,2016,Peel-and-stick installation
Product Portfolio,TT150 Hardware Price,300,2016,USD below
Product Portfolio,TT150 Monthly Fee,7.95,2016,USD starting price
Product Portfolio,TTID Launch,Late 2020,2020,Tethered trailer tracking
Product Portfolio,TTID Monthly Fee,4.00,2020,USD per month
Product Portfolio,TTID Hardware Cost,0,2020,No upfront cost
Product Portfolio,SkyBitz Products Offering,Late 2019,2019,Partnership with SkyBitz
Product Portfolio,GXT5002 Coverage,US Canada Mexico,2019,
Product Portfolio,Over-the-Air Updates,Yes,2019,GXT series
Market Position,Trailer Monitoring Units,70000,2021,Over (estimate)
