Product_Service,Type,Features,Launch_Date,Source_Page
Azuga ONE Platform,Connected Vehicle Platform,OBD-II data for GPS fleet mgmt Insurtech road usage charging remote emissions,2015,112
VG34 Vehicle Gateway,Hardware Device,"Live GPS tracking FMCSA-approved ELD engine diagnostics built-in Wi-Fi hotspot driver workflows advanced analytics",Current,113
GPS Technology,Multi-satellite,Reads from multiple independent satellite systems,Current,113
Dash Cam,Forward-facing,Video recording,Current,113
Dual Dash Cam,Forward and Driver-facing,"Automatic incident footage upload to cloud audio speaker infrared LED 40 hours on-demand video",Current,113
AI Video Analysis,Software,Automatically identifies distracted driving and tailgating,Current,113
Driver Safety,Scoring System,Harsh driving incident alerts safety scores and leaderboards,Current,113
Mask Detection,Video Feature,For passenger transit industry,Current,113
School Bus Solution,Monitoring System,"NFC ID cards for students route integration parent portal SafeStop and ClassDojo integration",Current,113
ELD Solution,Compliance,FMCSA compliance accessible via iOS or Android,Current,114
Temperature Logging,Compliance,Automated continuous logging for FSMA compliance,Current,114
Open APIs,Integration,Connect with route planning and TMS providers,Current,114
