Attribute,Value
Company Name,Verizon Connect
Address,2002 Summit Blvd. Suite 1800
City State Zip,Atlanta GA 30319
Phone,(404) 573-5800
Website,www.verizonconnect.com
Platform Name,Reveal
Platform Origin,Originally developed by Fleetmatics
Asset Types Monitored,Powered and non-powered assets|Heavy equipment|Trailers|Containers|Power take-off units (PTOs)|Generators|Other assets
GPS Fleet Tracking Features,Monitoring heavy equipment|Reducing lost/stolen/misused/underutilized assets|Asset utilization reports|Equipment rental usage tracking by project|Cost analysis improvement|Billing accuracy/efficiency|Fuel tax credit calculations for off-road/PTO operations
AEMP Standard Support,Can monitor equipment from manufacturers transmitting in AEMP standard format
Off-Road Units Monitored,Over 40000
Market Position,One of the leading suppliers of telematics solutions for monitoring heavy construction equipment and other assets
