Year,Target Company,Acquirer,Acquirer Type,Strategic Rationale,Market Segment
2020-2021,ORBCOMM,Not specified in excerpt,Unknown,Major acquisition mentioned,Asset tracking and telematics
2020-2021,Azuga,Not specified in excerpt,Unknown,Major acquisition mentioned,GPS fleet management
2020-2021,GPS Insight,Not specified in excerpt,Unknown,Major acquisition mentioned,GPS fleet management
2020-2021,IntelliShift (VTS),Not specified in excerpt,Unknown,Major acquisition mentioned,Video telematics
2020-2021,SmartDrive Systems,Not specified in excerpt,Unknown,Major acquisition mentioned,Video telematics
2020-2021,Rhino Fleet Tracking,Not specified in excerpt,Unknown,Major acquisition mentioned,GPS fleet management
2020-2021,Webfleet,Not specified in excerpt,Unknown,Major acquisition mentioned,GPS fleet management
2020-2021,Coretex,Not specified in excerpt,Unknown,Major acquisition mentioned,Trailer tracking
2020-2021,eDriving,Not specified in excerpt,Unknown,Major acquisition mentioned,Driver behavior management
Unknown,WABCO,ZF Group Germany,Strategic,ADAS technology and autonomous vehicle enablement,Truck safety systems
Multiple,Various acquisitions,Verizon Connect,Strategic,Building market position through M&A,GPS fleet management
Ongoing,Multiple targets,Private Equity Firms,Financial,Industry consolidation,Various segments
General Trend,Industry-wide,Both Strategic and Financial,Mixed,Market consolidation and growth,All segments
Market Status,High M&A Activity,Active Market,Both types,Optimism about market growth,Telematics industry
Future Outlook,Additional acquisitions expected,Various buyers,Both types,Next few months anticipated,Industry consolidation
