Category,Product_Feature,Details,Target_Market,Notes
Hardware,VG34 Vehicle Gateway,"GPS tracking, FMCSA ELD, engine diagnostics, Wi-Fi hotspot, driver workflows, analytics",All Fleet Types,
Hardware,GPS Technology,Multiple independent satellite systems for precise real-time location,Challenging Environments,
Video,Dual-Facing Dashcam,"Forward and driver-facing, automatic incident upload, audio speaker, infrared LED, 40-hour on-demand video",Safety & Compliance,
Video,AI-Powered Analysis,"Identifies distracted driving, tailgating, harsh driving incidents",Driver Safety,
Video,Mask Detection,For monitoring mask compliance,Passenger Transit,
Software,School Bus Monitoring,NFC ID cards for student boarding/departing tracking,School Districts,
Software,Route Integration,Imports routes and measures on-time performance,School Bus,
Software,Parent Portal,"Real-time bus location, ETAs, late bus alerts",Parents,Integrates with SafeStop and ClassDojo
Software,ELD Solution,Accessible through iOS or Android smartphone or tablet,Trucking Fleets,
Software,Temperature Logging,Automated continuous temperature logging for FMCSA compliance,Food & Beverage,
Software,Open APIs,Connect with route planning and TMS providers,All Markets,
Customer,City of Sacramento,Municipal fleet,Government,
Customer,Clean Harbors,Fleet management,Industrial Services,
Customer,ADM,Fleet management,Food & Beverage,
Customer,Swire Coca-Cola,Fleet management,Food & Beverage,
Customer,Bragg Construction,Fleet management,Construction,
Customer,ArcBest,Fleet management,Trucking,
Customer,Fames Transport,U.S. Postal Service contractor,Logistics,
Customer,Schwebel Baking Company,Fleet management,Food & Beverage,
Customer,Goodfellow Brothers,Environmental construction,Construction,
Customer,GB Transco,Trucking fleet,Trucking,
Customer,Ghilotti Brothers,Construction fleet,Construction,
Customer,Massachusetts Bay Transportation Authority,Public transit,Government,
Customer,City of Boston,Municipal fleet,Government,
Customer,Santa Clara County Fire Department,Emergency vehicles,Public Safety,
Customer,Windy City Limousine,Passenger transport,Limousine,
Customer,Holiday Tours,Passenger transport,Tourism,
Customer,SeniorCare EMS,Emergency medical services,Healthcare,
Customer,Sprint Waste Services,Waste collection,Waste Management,
Customer,Tumino's Towing,Towing services,Towing,
Customer,Birmingham City Schools,School buses,Education,
Customer,CDC Delivery,Delivery fleet,Logistics,
Customer,San Jose Water Company,Utility fleet,Utilities,
Pricing,Vehicle Gateway License,$468/year,List price; includes hardware cables maintenance cloud software service 24/7 support cellular data,
Pricing,Hardware Upgrades,Free upon contract renewal,Covered under warranty for duration of license,
Pricing,Discounts Available,Volume and multi-year term discounts,Available,
Target Industries,Food & Beverage,Fleet telematics and safety solutions,Food & Beverage,
Target Industries,Freight and Distribution,Fleet telematics and safety solutions,Transportation,
Target Industries,Manufacturing,Fleet telematics and safety solutions,Manufacturing,
Target Industries,Oil & Gas,Fleet telematics and safety solutions,Energy,
Target Industries,Construction,Fleet telematics and safety solutions,Construction,
Target Industries,Energy,Fleet telematics and safety solutions,Energy,
Target Industries,Education,Fleet telematics and safety solutions,Education,
Target Industries,Local Government,Fleet telematics and safety solutions,Government,
Target Industries,Field Service,Fleet telematics and safety solutions,Services,
Target Industries,Retail,Fleet telematics and safety solutions,Retail,
Target Industries,Passenger Transit,Fleet telematics and safety solutions,Transit,
New Partnerships,EVgo,July 2021,Partnership for electric vehicle transition,Energy,
New Partnerships,Volvo,2020,Data integration into Samsara platform,OEM,
New Partnerships,Navistar,2020,Data integration into Samsara platform,OEM,
New Partnerships,Ford,2020,Data integration into Samsara platform,OEM,
Product Releases,AI Dash Cam Features,2020,New features released,Safety,
Product Releases,Electric Vehicle Tools,2020,New EV-specific features,EV Market,
Product Releases,Admin App,2020,Mobile administration application,Fleet Management,
App Marketplace,Integrations Announced,August 2021,4 new integrations via open API,Multiple,Continued strategy for real-time data
Sales,New Customer Video Adoption Rate,>50%,Over half of new customers purchase dash cam solutions,Video Market,
