Customer_Name,Fleet_Size,Announcement_Date,Industry_Segment,Geographic_Region,Deployment_Status
Schneider National,Entire fleet,2019,Trucking,North America,Full fleet deployment announced
Werner Enterprises,8000,2020,Trucking,North America,Integration announced - nearly 8000 trucks
U.S. Xpress,6500+,February 2021,Trucking,North America,Partnership announced - over 6500 trucks
Western Express,3000,June 2021,Trucking,North America,Partnership announced - 3000 trucks
Stevens Transport,2000+,September 2021,Trucking,North America,Rollout announced - over 2000 trucks
Cargo Transporters,500,January 2022,Trucking,North America,Partnership announced - nearly 500 tractors
C.R. England,4000,February 2022,Trucking,North America,Partnership announced - 4000 tractors
Paper Transport,Entire fleet,November 2022,Trucking,North America,Collaboration announced
Walmart,12000,Current,Retail/Private Fleet,North America,Private cabs - 12000 drivers
Maverick Transportation,Not specified,March 2023,Trucking,North America,Collaboration announced
Averitt,5000+,August 2023,Trucking,North America,Partnership announced - more than 5000 trucks
Cheema Freightlines,500+,December 2023,Trucking,North America,Partnership announced - more than 500 trucks
FirstFleet,Not specified,Current,Trucking,North America,Customer reference
Mesilla Valley Transportation,Not specified,Current,Trucking,North America,Customer reference
Velocity Truck Rental & Leasing,Not specified,Current,Equipment Rental,North America,Customer reference
Covenant Logistics,Not specified,Current,Trucking,North America,Customer reference
