Attribute,Value
Company Name,Teletrac Navman
Address,7391 Lincoln Way
City State Zip,Garden Grove CA 92841
Phone,(866) 527-9896
Website,www.teletracnavman.com
Parent Company 2016-2020,Fortive Corporation (spun off by Danaher Corporation)
Current Parent Since 2020,Vontier (based in Raleigh NC)
Vontier Focus,Transportation and mobility markets; Fueling technology|Fleet management data|Traffic solutions
Market Position,Leading supplier of telematics solutions for trucking and local fleets
Construction Equipment Solution,Simultaneous monitoring of on-road and off-road equipment
Solution Features,Real-time information on asset state and condition|Assets ready-to-go identification|Assets needing attention|Real-time alerts for unauthorized use|Operating hours alerts|Assigned area departure alerts|Ignition on/off time|Engine hours|Mileage/position reports with map plotting|Sensor alerts|Fuel consumption|Unauthorized use/theft monitoring
Analytics,Real-time and historical asset utilization picture
Heavy Equipment Installed Base,13000-15000 off-road vehicles and assets (estimate)
Historical Focus,Pre-acquisition by Danaher Navman Wireless focused on heavy construction equipment monitoring in U.S.
