Region,Market,Presence_Type,Status,Priority_Level,Solutions_Offered,Details
North America,United States,Direct,Established,Primary,All Solutions,Majority of installed base
North America,Canada,Direct,Established,Primary,All Solutions,Full compliance solutions
North America,Mexico,Direct,Established,Primary,All Solutions,Omnitracs de México
Latin America,Brazil,Direct,Established,High,Fleet Solutions,Omnitracs Tecnologia do Brasil and Autotrac
Latin America,Colombia,Indirect,Active,Medium,Fleet Solutions,VAR partnerships
Latin America,Argentina,Indirect,Active,Medium,Fleet Solutions,VAR partnerships
Latin America,Peru,Indirect,Active,Medium,Fleet Solutions,VAR partnerships
Latin America,Chile,Indirect,Active,Medium,Fleet Solutions,VAR partnerships
Latin America,Ecuador,Indirect,Active,Medium,Fleet Solutions,VAR partnerships
Latin America,Costa Rica,Indirect,Active,Medium,Fleet Solutions,VAR partnerships
Western Europe,Multiple Countries,Expanding,Growth,Medium,Select Solutions,Spireon SmartDrive Roadnet
Asia Pacific,Australia & New Zealand,Expanding,Growth,Medium,Select Solutions,International expansion
Global,Over 50 Countries,Mixed,Active,Varied,Platform Solutions,Omnitracs One coverage
