Company 1,Company 2,Partnership Type,Date Announced,Description,Partnership Benefits,Duration
Doosan Infracore,MobileNet (later ORBCOMM),Technology supplier selection,2009,Selected MobileNet TrakPak as GPS application for standard equipment on new Doosan DX Series Excavators and DL Series Wheel Loaders,Standardized telematics for new equipment,N/A
Manitowoc,A1A,Technology upgrade,2016,Selected A1A's iCraneTrax to power upgraded telematics solution,Wide variety of reports and intuitive user interface,N/A
Trackunit,United Rentals Inc.,Customer partnership,Active,Provide telematics solutions for light and heavy equipment in United Rentals fleet,Support world's largest equipment rental company,N/A
Trackunit,Ahern Rentals,Deployment agreement,May 2020,Deploy Trackunit solutions over next 3 years across fleet,Support largest independently-owned rental company in North America,3 years
ZTR,BlackBerry,Product development,August 2020,Develop asset tracker for rail cars,Rail car tracking capability,N/A
LHP Telematics,Cummins Certified Telematics,Technology partnership,2020,Advanced analytics and predictive modeling for maintenance management,Enhanced maintenance capabilities,N/A
LHP Telematics,Vermeer,Dealer network partnership,2020,Partnership with Vermeer and 80 dealers,Expanded dealer distribution,N/A
LHP Telematics,John Deere,Private-label supplier,N/A,MTG device for JD Link under private-label agreement,OEM relationship with major manufacturer,N/A
Danlaw,ALD Automotive,Preferred partnership,April 2021,DataLogger devices and Bitbrew cloud platform for ALD ProFleet,Industry-leading OBD-II devices and cloud platform for fleet services,N/A
EquipmentShare,Hardware suppliers (Morey CalAmp others),Hardware sourcing,N/A,Ruggedized tracker hardware in multiple configurations,Multiple hardware options for vehicle/asset types,N/A
Garmin,MRM solution providers,Integration partnership,~2007,Fleet Management Interface (FMI) enables integration with Garmin PNDs,Dispatch|Two-way messaging|Routing capabilities,N/A
