Company,Region,Expansion Activity,Timing,Strategic Rationale,Market Status
Trackunit,North America,Entered U.S. market; Oak Brook IL headquarters,2016,Expand from European base into large North American market,25% of global business; Expected to increase
Trackunit,Global,Operating in multiple countries,Present,Global telematics leader,500000+ units globally; 25% mobile app usage
ZTR,Europe,Expanded into several European countries including UK office,2020,Geographic expansion from North American base,Active expansion
ZTR,Asia-Pacific,Expanding presence including new Japan office,2021,New market development,Opening new office
Suntech,Latin America,Established Suntech Brazil (2010)|Suntech Mexico (2012)|Suntech Colombia (2014),2010-2014,Become leader in Latin American market,Strong market presence; 2G support for region
Suntech,Asia,Opened Hong Kong office,Between 2007-2012,Asian market development,Operational
Suntech,North America,Suntech U.S. started,2016,Enter U.S. market with LTE products,Growing customer base
Queclink,North America,Sells in U.S. and Canada,N/A,Major market coverage,Part of 100+ countries served
Queclink,Latin America,Strong market presence,N/A,Regional strength,Strong presence
Queclink,Global,Over 100 countries,N/A,Worldwide coverage,35M+ devices delivered by end 2020
Topcon Tierra,Europe,European head office in Netherlands,N/A,European market coverage,Global operations
Topcon Tierra,Global,Serves construction|geospatial|agriculture markets globally,N/A,Worldwide presence,Part of Topcon S.p.A. with 4939 employees
EquipmentShare,United States,76 facilities throughout U.S.,Present,Comprehensive U.S. coverage,2000 employees
EquipmentShare,International,Licensee in New Zealand,Present,Initial international expansion,Test market
Danlaw,Global,Facilities in U.S.|India|China,N/A,Global manufacturing and engineering,800 employees including 300+ engineers
Danlaw,Markets Served,North American|European|Asian OEMs and insurance carriers,N/A,Multi-region customer base,Tier-1 supplier status
CalAmp,Global,Major global supplier of telematics devices and solutions,N/A,Worldwide market leader,20M+ devices installed globally
Garmin,Global,Multiple market segments worldwide,N/A,Global presence in auto|outdoor|fitness|marine|aviation,2020 automotive/fleet revenue $460M of $4.2B total
Advantech,Global,Taiwan-based with global embedded solutions,N/A,Worldwide industrial IoT supplier,Publicly-held
