Company,Region,Strategy,Market Position,Key Initiatives
Fleet Complete,North America,Direct and channel sales,307K commercial vehicle units,OEM partnerships with GM Ford Toyota Stellantis
Fleet Complete,Mexico,Acquisition-based entry,41K units,CSI acquisition - 200+ employees 7 offices 70+ cities
Fleet Complete,Europe,Acquisition-based,143K units,Ecofleet ITmobile acquisitions
Fleet Complete,Australasia,Acquisition-based,43K units,Securatrak acquisition
Geotab,North America,Reseller network + direct,Majority of 3.7M Americas units,700+ resellers - enterprise and government focus
Geotab,Latin America,Expanding presence,255K-300K units,Key markets: Mexico Colombia Peru Brazil Chile
Geotab,Brazil,New market entry,Growing,Geotab Telemática established 2021
Gurtam,Mexico,Strong presence,8.8% of global Wialon units,Top Americas market for Wialon
Gurtam,North America,Growing expansion,Recent growth,Previously Latin America focused
Gurtam,Latin America,Established presence,Since 2008,Boston office 2013 - Portuguese Spanish support
Gurtam,South America,Strong presence,Top GPS-Trace market (39.2%),Chile Brazil leading countries
KORE Position Logic,Latin America,Primary focus,75% of customer base,Dedicated teams in Mexico and Brazil
KORE Position Logic,North America,Secondary market,25% of customer base,US and Canada presence
MICHELIN,North America,Acquired businesses,Growing,NexTraq acquisition 2017
MICHELIN,Latin America,Strong presence,300K+ units,Sascar acquisition 2014 - Brazil Mexico Colombia Chile Argentina
MICHELIN,Europe,Headquarters region,260K units,Masternaut acquisition 2019
MiX Powerfleet,Global,130+ fleet partners,120 countries,Americas revenue $27M
