Partner_Name,Partner_Type,Partnership_Type,Products/Services,Year_Announced,Status,Source_Page
Daimler Truck North America (DTNA),OEM,Minority Investment & Strategic Partnership,Freightliner Western Star Thomas Built Buses factory installation,June 2015,Active,271
Continental,Parent Company,Full Acquisition,Wholly owned subsidiary,June 2019,Active,271
Continental Tires North America,Sister Division,Integrated Solution Partnership,ContiConnect Live tire pressure monitoring,2017,Active,275
Noregon,Fleet Software Provider,Technology Integration,Zonar FaultIQ real-time fault data with action plans,March 2020,Active,275
International (Navistar),OEM,Platform Integration,OnCommand Connection platform data access from Zonar TCUs,Oct 2020,Active,275
VizaLogix,Site Optimization,Collaboration,Zonar SightIQ vocational site optimization solution,July 2022,Active,275
ChargePoint,EV Charging Network,Strategic Relationship,EV charging integration,2024,Active,274
Highland Electric Fleets,EV Fleet Services,Collaboration,Electric vehicle space development,2024,Active,274
BlueBird,School Bus Manufacturer,Development Partnership,EV development testing,2024,Active,274
Lion Bus,Electric Bus Manufacturer,Development Partnership,EV development testing,2024,Active,274
FirstGroup,School Bus Contractor,OEM Services Customer,Zonar-equipped vehicles,2024,Active,274
National Express,Transportation Services,OEM Services Customer,Zonar-equipped vehicles,2024,Active,274
Penske,Freight Leasing,OEM Services Customer,Zonar-equipped vehicles,2024,Active,274
