Fleet Category,Vehicle Count,Description,MRM Penetration,Key Applications
Total U.S. Fleet Vehicles,18500000,"All fleets (5+ vehicles), excluding rental",Variable,Various
Local Fleet Vehicles,13200000,"Service, delivery, construction, utilities, public safety, government",46%,"GPS tracking, dispatch, driver management"
Truckload Carriers,1000000,Heavy trucks - full loads,Very High,"ELD, GPS tracking, video"
LTL Carriers,250000,Less-than-truckload carriers,Very High,"ELD, GPS tracking, routing"
Private Trucking,2000000,Class 6-8 private fleets,High,"GPS tracking, ELD, driver management"
Rental Cars and Trucks,1980000,Vehicle rental industry,Moderate to High,"Asset tracking, utilization"
Commercial Trailers,5000000,Semi-trailers and commercial trailers,Low to Moderate,"Asset tracking, reefer monitoring"
Heavy Construction Equipment,1500000,Construction machinery,Moderate,"Equipment monitoring, utilization, theft prevention"
Home and Business Services,Variable,"HVAC, plumbing, electrical, pest control, pool service",Low to Moderate,"Routing, scheduling, field service"
Transportation Services,Variable,"Taxis, limousines, couriers, delivery",Moderate to High,"Dispatch, tracking, safety"
Transit Fleets,Variable,"Public transit, school buses, paratransit",High,"AVL, passenger counting, safety"
Utilities,Variable,"Electric, gas, water, telecom",Moderate to High,"Field service, outage response"
Construction Vehicles,Variable,On-road construction vehicles,Moderate,"Tracking, job site management"
Oil & Gas,Variable,Energy sector vehicles,Moderate,"Remote monitoring, safety"
Public Safety Fleets,Variable,"Police, fire, EMS",High,"CAD/AVL, emergency response"
Government Fleets,Variable,Municipal and federal vehicles,Moderate,"Compliance, accountability"
