Primary_Company,Partner_Company,Partnership_Type,Technology/Service,Year_Announced,Strategic_Value,Source_Page
GPS Trackit,ProMiles,Technology Partnership,Mileage and routing,2021,Enhanced routing capabilities,127
GPS Trackit,ServiceTitan,Technology Partnership,Field service integration,2021,Service business workflow integration,127
GPS Trackit,SpeedGauge,Technology Partnership,Speed monitoring,2021,Enhanced driver safety,127
GPS Trackit,Fleetio,Technology Partnership,Fleet maintenance,2021,Maintenance management integration,127
GPS Trackit,Fleetcor,Technology Partnership,Fuel card integration,2021,Fuel management,127
GPS Trackit,WEX Inc.,Technology Partnership,Payment solutions,2021,Workforce payment integration,127
GPS Trackit,Point of Rental,Technology Partnership,Rental management,2021,Equipment rental integration,127
Spireon,GM,OEM Partnership,FleetLocate for GM,2017,Eliminates aftermarket device for OnStar-equipped vehicles,129
Spireon,Ford Commercial Solutions,OEM Partnership,FleetLocate for Ford,July 2019,Leverage Ford Data Services without aftermarket device,129
CalAmp,Caterpillar,Development Agreement,Ruggedized wireless routers,2013,Heavy equipment global data communications,135
Fleetilla,Polte Corporation,Technology Collaboration,Cloud Location over Cellular (C-LoC),April 2019,Indoor asset tracking (50-200 feet accuracy),147
Fleetilla,Geotab,Reseller/VAR Agreement,Product integration,2021,Best-of-breed telematics integration,147
Fleetilla,Netradyne,Reseller/VAR Agreement,AI dashcam integration,2021,Advanced video telematics,147
Fleetilla,Lytx,Reseller/VAR Agreement,Video safety integration,2021,Driver safety and risk management,147
IntelliShift,Commercial Vehicle OEMs,Data Integration,Diagnostic data from OEM hardware,2021,Maintenance notifications without aftermarket install,138
IntelliShift,Heavy Equipment OEMs,Data Integration,Equipment diagnostic data,2021,Preventative maintenance automation,138
