Company,Metric,Value,Time_Period,Geographic_Region,Notes
Samsara,Founded,2015,2015,San Francisco,Company founding year
Samsara,Headquarters,San Francisco,Current,United States,Main office location
Samsara,Employees,3000+,Current,Global,More than 3000 employees
Samsara,International Offices,8,Current,Global,UK Netherlands France Germany Poland Mexico Taiwan India
Samsara,IPO Date,December 2021,December 2021,New York Stock Exchange,Listed under symbol IOT
Samsara,FY2024 Revenue,937400000,Feb 2024,Global,Fiscal year ending February 2024 - USD 937.4 million
Samsara,FY2023 Revenue,652500000,Feb 2023,Global,Fiscal year ending February 2023 - USD 652.5 million
Samsara,International Revenue Share,12,FY2024,Outside US,Markets outside US accounted for 12 percent of total revenues
Samsara,Annual Recurring Revenue (ARR),1000000000+,FY2024,Global,Surpassed USD 1 billion ARR in FY2024
Samsara,ARR Latest,1300000000,Q ending Aug 2024,Global,Almost USD 1.3 billion ARR
Samsara,Video-Based Safety ARR,500000000+,Q ending Aug 2024,Global,Surpassed USD 500 million ARR
Samsara,Vehicle Telematics ARR,500000000+,Q ending Aug 2024,Global,Surpassed USD 500 million ARR
