Category,Event_Metric,Date,Value,Details,Source
Company,Founded,Early 2015,,,Report
Company,Founders,,"Sanjit Biswas, John Bicket",Previously co-founded Meraki (sold to Cisco for $1.2B in 2012),Report
Company,Employees,January 2021,"1,300",Approximately,Report
Company,Headquarters,,"San Francisco, CA",,Report
Company,Additional Offices,,"San Jose CA, Atlanta GA, UK",,Report
Funding,Series Initial,May 2015,$25M,Andreesen Horowitz,Report
Funding,Series Additional,December 2016,$15M,Andreesen Horowitz,Report
Funding,Series Additional,June 2017,$40M,General Catalyst with Andreesen Horowitz participation,Report
Funding,Series D,March 2018,$50M,Andreessen Horowitz and General Catalyst,Report
Funding,Total Capital Raised,March 2018,$130M,,Report
Valuation,Series D,March 2018,$1.4B,,Report
Funding,New Round,December 2018,$100M,Existing investors,Report
Funding,Total Capital Raised,December 2018,$230M,,Report
Valuation,December 2018,December 2018,$3.6B,More than 2x Series D valuation,Report
Funding,Series,September 2019,$300M,Tiger Global and Dragoneer with existing investors,Report
Funding,Total Capital Raised,September 2019,$530M,,Report
Valuation,September 2019,September 2019,$6.3B,,Report
Funding,COVID Round,May 20 2020,$400M,General Atlantic Warburg Pincus and existing investors,Report
Layoffs,COVID Impact,May 20 2020,300,18% of workforce,Report
Layoffs,Areas Impacted,May 2020,,"3 European regions, industrial machine vision group",Report
Valuation,May 2020,May 2020,$5.4B,Discounted from Sept 2019,Report
IPO,Filing,September 1 2021,,Confidential draft registration with SEC,Report
Units in Service,GPS-Based Units,Q4 2018,"200,000",Not including video cameras; mostly in U.S.,Report
Units in Service,GPS-Based Units,Q3 2021,"700,000+",U.S. only; 350% growth from Q4 2018,Report
Units in Service,ELD Units,Estimate,"180,000",One of largest U.S. ELD suppliers,Report
Revenue,Run-Rate Subscription,February 2021,$300M+,80%+ annual growth as of fiscal Q4 ended Jan 30 2021,Report
Gross Margin,Most Recent Fiscal Year,FY ending Jan 30 2021,70%+,,Report
Market,International Sales,,"Canada, Mexico, UK, France, Germany",,Report
