Customer_Name,Type,Industry_Segment,Source_Page
State of Louisiana,Government,State government fleet,125
Commonwealth of Massachusetts,Government,State government fleet,125
EMCOR Group,Commercial,Facilities services,125
Mastec,Commercial,Infrastructure engineering and construction,125
Ahern Rentals,Commercial,Equipment rental,125
Meade Electric,Commercial,Electrical contractor,125
CenterPoint Energy,Utility,Energy utility,125
CableONE,Commercial,Cable and internet services,125
Rio Tinto,Commercial,Mining and metals,125
Aaron's,Commercial,Furniture and electronics lease-to-own,125
Berkshire Hathaway Energy,Utility,Energy holding company,125
Service Plans,Range,Month-to-month to bundled solutions with no upfront fees,125
Tracking Service Fees,Typical Range,20-29 USD per month,125
Extended Solutions,Add-ons,Field service management ELD cameras (additional fees),125
