Rank,Company,Installed_Base_Category,Geographic_Focus,Estimated_Units,Key_Strengths,Ownership,Notes
1,Geotab,3M+,Global (strong NA),3000000+,Market leader; open platform; extensive integrations,Independent (Private),Clear market leader with 3M+ in NA alone
2,Verizon Connect,1M-3M,Global,2000000,Carrier-backed; enterprise focus; brand recognition,Verizon (Public),Runner-up position
3,Samsara,1M-3M,North America,1500000,Modern platform; video telematics; rapid growth; public company,Independent (Public: IOT),Relative newcomer; strong growth
4,CalAmp,1M-3M,Americas,1200000,Telematics hardware; software platform,Independent (Public: CAMP),
5,Solera Fleet Solutions,1M-3M,Global,1100000,Omnitracs legacy; long industry presence,Solera Holdings,Decades in industry
6,Lytx,500K-1M,North America,800000,Video telematics leader; AI dash cams; driver safety,Private,Video-focused
7,Motive,500K-1M,North America,700000,Integrated operations platform; modern UI; ELD,Private,Fast-growing; modern platform
8,Trimble Transportation,500K-1M,Global,650000,Navigation; routing; long-haul focus,Being acquired by Platform Science,Acquisition closing H1 2025
9,Gurtam,500K-1M,Global (strong LatAm),600000,Wialon platform; white-label solutions,Independent,Platform provider
10,Bridgestone Mobility Solutions,500K-1M,Global,550000,Webfleet + Azuga; tire manufacturer diversification,Bridgestone (Tire OEM),Tire OEM entry
11,MICHELIN Connected Fleet,500K-1M,Americas,520000,Sascar in LatAm; security + optimization,Michelin (Tire OEM),Strong in Latin America
12,Fleet Complete,500K-1M,North America,500000,SMB focus; video solutions,Recently acquired by Powerfleet,Just acquired by Powerfleet
13,Zonar Systems,500K-1M,North America,480000,Inspection systems; municipal/transit focus,Continental (Tire/Auto OEM),Continental subsidiary
14,GPS Insight,500K-1M,North America,450000,Mid-market focus; strong customer service,Private,
15,Powerfleet,500K-1M,Global,450000,Recently acquired MiX + Fleet Complete,Independent (Public: AIOT),Aggressive M&A strategy
16,WideTech,100K-500K,Latin America,400000,Brazil focus,Private,
17,Navixy / SquareGPS,100K-500K,Americas,380000,Platform provider; white-label,Private,
18,Encontrack,100K-500K,Latin America,350000,Security focus,Private,
19,Ituran,100K-500K,Americas,320000,Stolen vehicle recovery; security,Public,Israel-based
20,Teletrac Navman,100K-500K,Global,300000,Verizon Connect competitor; enterprise,Verizon,Under Verizon umbrella
21,Pósitron (Stoneridge),100K-500K,Latin America,280000,Brazil market; OEM relationships,Stoneridge (Auto supplier),
22,Linxup,100K-500K,North America,270000,SMB focus; affordable pricing,Private,
23,GPS Trackit,100K-500K,North America,250000,Government/public sector focus,Private,
24,RedGPS,100K-500K,Latin America,240000,White-label platform; OnTracking,Private,Chile-based
25,Autotrac,100K-500K,Latin America,230000,Brazil market,Private,
26,3Dtracking,100K-500K,Latin America,220000,Mexico focus,Private,
27,Omnilink (Show Tecnologia),100K-500K,Latin America,210000,Gestor platform; Brazil,Private,
28,DCT (Digital Communications Technologies),100K-500K,North America,200000,Long-haul trucking,Private,
29,OnixSat,100K-500K,Latin America,190000,Brazil; OnixSmart devices,Private,
30,Scania,100K-500K,Global,180000,OEM telematics; Scania Fleet Management,Traton Group (VW),Truck OEM
31,Rastrac,50K-100K,North America,95000,Fuel card integration; construction,Private,
32,KORE Position Logic,50K-100K,North America,90000,White-label solutions; IoT connectivity,KORE Wireless,
33,IntelliShift,50K-100K,North America,85000,Unified platform; video + telematics,Private,
34,J.J. Keller,50K-100K,North America,80000,Compliance focus; ELD; safety,Private,Family-owned
35,Sitrack,50K-100K,Latin America,75000,Argentina focus,Private,
36,Satrack,50K-100K,Latin America,70000,Security; stolen vehicle recovery,Private,Colombia-based
37,MiX by Powerfleet,50K-100K,Global,65000,MiX Telematics brand; video AI,Powerfleet (recently acquired),Recently acquired
38,Positioning Universal,50K-100K,North America,60000,FT7500 gateway; video cameras,Private,
39,Cobli,50K-100K,Latin America,55000,Brazil; modern platform,Private,
40,Location World,50K-100K,Latin America,50000,Misuriam platform; white-label,Private,Argentina-based
41,Forward Thinking Systems,50K-100K,North America,48000,FleetCam; video focus,Private,
42,Platform Science,50K-100K,North America,45000,Open platform; app marketplace; acquiring Trimble,Private,Major acquisition pending
