Company,Product,Entry_Level_Monthly_Price,Mid_Tier_Monthly_Price,Premium_Monthly_Price,Hardware_Cost,Contract_Term,Notes
Omnitracs,Omnitracs One,$22.95 (Basic Track & Trace),N/A,Enhanced solutions higher priced,$475 (Active Mobile Gateway),2-5 years,Includes data cost
Trimble,ConnectedFleet,$20.00,$35.00,$50.00,"$350 - $1,300",3-5 years typical,Depending on plan
Zonar,Ground Traffic Control,$22.00,$29.00,$36.00,Often bundled,Typically 3 years,Varies by vertical market
KeepTruckin,Various Plans,$20.00,N/A,Higher tiers available,Bundled with service,Varies,Depending on service plan
Teletrac Navman,Director,$30.00,$42.50,$55.00,Usually bundled,3 years,Range based on features
J.J. Keller,Encompass,$5.95 (Essential),$25.95 (Premium),$34.95 (Platinum),$299 (Compliance Tablet) or $7/mo lease,Varies,Per driver pricing
Rand McNally,DriverConnect,$19.00,$29.00,$39.00,"$149+ (no display), $300-600 (with display)",Month-to-month,GPS fleet management
Platform Science,Platform Science,$35.00+,N/A,Custom pricing,Varies by configuration,Varies,Base package pricing
EROAD,ELD Solution,$25.00 (service only) / $35.00 (bundled),N/A,N/A,$749 (if purchased separately),Discounted on contract,Two pricing models
Gorilla Safety,Gorilla Fleet Intelligence,$19.99 (PRIME8),$26.99 (XPRESS),$36.99 (XTREME),$175 or $7/mo (3-year lease),1 year,Three tiers plus Enterprise add-on
Cheetah,LOOP,N/A,$100.00,N/A,N/A,N/A,Approximately $100/month
CyntrX,ELD Pro,$10-15/mo (to channel),N/A,N/A,$10/mo above service fee (bundled),Month-to-month,Channel partner pricing model
Vnomics,True Fuel,Less than $20/mo,N/A,N/A,Not usually required,N/A,Software-only from TSP partners
Konexial,My20,$25.00 (basic),$38.00 (cellular module),N/A,$129.99 (basic) / $199.99 (cellular),1 year (3-year discount),Two device options
