Region,Operator,Fleet_Management_Partners,Partnership_Model,Key_Products,Notes
North America,Verizon,Verizon Connect (owned),Owned subsidiary,Verizon Connect Fleet + Reveal,Revenues ~$1 billion; result of $5B+ acquisitions (Hughes Telematics + Telogis + Fleetmatics)
North America,AT&T,"Fleet Complete, Geotab",Reseller partnership,AT&T Fleet Complete; AT&T Fleet Management for Enterprise/Government,Partner-powered solutions
North America,T-Mobile,"Geotab, Spireon",Reseller partnership,T-Mobile for Business fleet solutions,Powered by technology partners
North America,UScellular,"Geotab, GPS Trackit, Ready IoT, MiFleet, Radius (Modus)",Reseller partnership,Cruise Connect for Business,Multiple partner options
North America,Rogers,"Geotab, Titan GPS, Fleet Complete",Reseller partnership,,Canadian operator
North America,Bell,"Geotab, Fleet Freedom, FleetCam, Anytrek",Reseller partnership,,Canadian operator
North America,TELUS,"Geotab, Fleet Complete, Raven, FOCUS, SkyHawk",Owned + partnerships,FOCUS by TELUS; SkyHawk by TELUS,Acquired FOCUS Optimization (2019) and SkyHawk Telematics (2019)
Latin America,Telefónica,"Geotab, SHERLOG, Sascar (MICHELIN)",Reseller partnership,Vivo Frota Inteligente (Brazil),Active in Ecuador/Colombia/Mexico/Peru/Chile
Latin America,América Móvil,"Hunter, Location World, Círculo Corp, Tecnologistik",Reseller partnership,Claro Flotas; Gestión Vehicular Telcel (GVT),Major Latin America operator
Latin America,AT&T Mexico,Geotab,Reseller partnership,Geotab fleet solutions,
Latin America,Cable & Wireless,Optimus Fleet,Authorized reseller,,Panama
Latin America,Entel,Location World,Platform partnership,,Chile; launched 2021
