Product,Launch_Date,Key_Features,Target_Market,Pricing_Notes
Reveal Platform,Post-March 2018,Consolidated platform from Fleetmatics,All Fleet Segments,Primary platform
Fleetmatics WORK,~5 years ago,Field Service Management,,Launched about 5 years prior to report
Field Service Dispatch,2019,Scheduling dispatching technician mobile app live map integration,Dispatchers & Technicians,Now known as Reveal Field
Reveal Field,Current,Works with Reveal platform for field service,Field Service,
Verizon Connect Integrated Video,March 2020,"AI-powered smart video, forward and driver facing cameras, automatic event classification",All Fleet Segments,Strong demand in all segments
Roadside Assistance,2019,"24/7 assistance: towing, locksmith, battery, fuel, winch, tire change",New & Existing Customers,Available for heavy duty vehicles
V2 OBD-II Device,Current,"Plug-in device, captures ECM data, 30-second updates",Self-Installation Market,
Installed Devices,Current,Vehicle-installed devices from various suppliers,,
3G Devices,Current,Legacy devices being upgraded to 4G at no cost to customers,,
Hum,Current,Plug & play vehicle tracking for consumer market,Consumer Market,Partnership between Verizon Consumer Group and Verizon Connect
Reveal Starter,December 2020,Easy to use plug-and-play fleet management,1-9 Vehicle Fleets,Sold through 1400 corporate retail stores
ELD Solution,Current,ELD compliance functionality,Trucking Fleets,Also pursuing Canadian ELD mandate
Asset Tracking,Current,"Powered and unpowered assets: trailers, generators, containers, heavy equipment",Asset Management,Uses Reveal platform; compact discreet tracker with replaceable battery (May 2021)
Pricing,Typical Range,,"$23-$28/month","Depends on fleet segment, size, service level",Report
Pricing,Contract Length,,2-3 years,Typical contract length,Report
Pricing,Activation Fee,,$150,Approximate; varies by installation type,Report
Pricing,Installation,,Varies,Customers increasingly choosing self-install,Report
European Offices,Current,,"England, France, Germany, Ireland, Italy, Netherlands, Poland, Portugal, Spain",,Report
European Products,Current,New tachograph solution combining telematics compliance monitoring scheduling,European Market,
Other International,Current,,"China, ANZ, Latin America",,Report
