Company,Category,Data_Point,Value,Year,Notes
Webfleet Solutions,Market Position,Units in Service US/Canada,20000-30000,2021,Estimated range - majority in US
Webfleet Solutions,Product Launch,WEBFLEET Platform Generation,Next Generation,2018-02,Latest iteration launched
Webfleet Solutions,Product,Hardware Added,LINK 340,2020,Asset tracking for trailers and powered assets
Webfleet Solutions,Technology,Electric Vehicle Features,Added to WEBFLEET,2020,Battery levels monitoring and charging point display
Webfleet Solutions,Certification,Security Standard,ISO/IEC 27001,2021,Certified service for data privacy and security
Webfleet Solutions,Target Market,Primary Segment,Small and Medium Size Fleets,2021,US market focus
Webfleet Solutions,Target Verticals,Service & Maintenance,Targeted,2021,Primary vertical
Webfleet Solutions,Target Verticals,Passenger Transport,Targeted,2021,Primary vertical
Webfleet Solutions,Target Verticals,Delivery & Logistics,Targeted,2021,Primary vertical
Webfleet Solutions,Target Verticals,Towing & Recovery,Strong Position,2021,Benefits from dispatching features
Webfleet Solutions,Target Verticals,Insurance Telematics,Targeted,2021,Primary vertical
Webfleet Solutions,Distribution,Channel Strategy,Indirect Distribution,2021,Includes resellers
Webfleet Solutions,Technology,Platform Integration,APIs and SDKs,2021,Third-party app development enabled
Webfleet Solutions,Technology,App Center,Launched,2021,Partner applications for CRM ERP scheduling planning
