Company,Units_In_Service_2018,Units_In_Service_2021,Growth,Primary_Target_Market,Key_Differentiator,Ownership
Omnitracs,"572,900 (Enterprise, XRS, Roadnet)","722,000 (One and legacy solutions)",26.0%,For-Hire and Private Fleets,Comprehensive enterprise solutions,Private (Vista Equity Partners)
Trimble (PeopleNet),"600,000","600,000+",Stable,For-Hire and Private Fleets / OEMs,Broad platform with OEM partnerships,Public (NASDAQ: TRMB)
Zonar Systems,"472,000 (40% trucking)","560,000",18.6%,"Multiple verticals including trucking, school bus, transit",Ground Traffic Control platform,Private (Continental AG subsidiary)
KeepTruckin,"250,000 ELDs","400,000",60.0%,Trucking ELDs and fleet management,Fast-growing ELD-first provider,Private (VC-backed)
Teletrac Navman,"250,000 US / 550,000 global","250,000 US / 550,000 global",Stable,Trucking/SMB/Government,Global presence,Private (Vontier Corporation)
J.J. Keller,"150,000","150,000+",Stable,For-Hire and Private Fleets,Compliance expertise,Private
Rand McNally,"80,000 - 90,000","100,000+",11.1% - 25.0%,For-Hire and Private Fleets,Navigation heritage and integration,Private
Platform Science,Pilot stage,"40,000 - 50,000",New entrant,Enterprise trucking fleets,Open Android platform,Private (VC-backed with strategic investors)
EROAD,"20,955","35,000",67.0%,Trucks/trailers/assets,Tax compliance and data accuracy,Public (New Zealand Exchange)
Cheetah,Not reported,"25,000",N/A,"LTL, truckload, delivery, retail",Autonomous optimization platform (LOOP),Acquired by MercuryGate (March 2021)
Gorilla Safety,"25,000","25,000+",Stable,Trucking and oil & gas,Patented accident investigation module,Private
CyntrX,"15,000","21,000",40.0%,Truck rental and leasing channels,Channel-focused business model,Acquired by Radius Payment Solutions (Nov 2019)
Vnomics,"<15,000","15,000",Stable,Class 6-8 trucks,Fuel efficiency focus with 7 patents,Private
Konexial,Not reported,"10,000",N/A,Owner-operators to enterprise,Low-cost ELD with add-on services,Private
