Category,Data_Point,Value,Year,Source_Page
Company,Name,Fleetilla LLC,2021,146
Company,Founded,2000,2000,146
Company,Founder,Pradeep Kumar (former IBM management consultant),2000,146
Company,Address,"4220 Varsity Dr. Suite F, Ann Arbor, MI 48108",2021,146
Company,Phone,(734) 995-5100,2021,146
Company,Website,www.fleetilla.com,2021,146
Company,Contacts,"Pradeep Kumar (President & CEO), Marty Rocca (Sr. VP)",2021,146
Company,Funding,Private investors,2000,146
Market,Units in Service,40000+,2021,147
Market,US Percentage,70%,2021,147
Market,International Percentage,30%,2021,147
Business_Model,Fleetilla-Branded,Offered,2021,146
Business_Model,White Labeled,Offered,2021,146
Business_Model,Customized Solutions,Offered,2021,146
Business_Model,Systems Integrator,Available,2021,146
Business_Model,Reseller,Available,2021,146
Products,Platform Name,FleetFACTZ,2021,146
Products,Platform Type,Cloud-based (can be on-premises),2021,146
Products,Platform Languages,"English, Spanish, French",2021,146
Products,Fleetilla Connect,Enterprise integration API and service,2021,146
Products,Fleet FUSION,Data homogenizing engine,2021,146
Products,FleetFORMZ,Digital forms solution,2021,146
Technology,Networks - US,"4G LTE, LTE-M, 3G UMTS, Satellite, Bluetooth Low Energy, LoRa",2021,146
Technology,Networks - International,"GPRS, 3G, 4G LTE",2021,146
Technology,Data Support,"OBD-II, J-Bus, other sensors",2021,146
Technology,OEM Data Integration,Factory-installed telematics,2021,146
Technology,Heavy Equipment,AEMP data integration,2021,146
Technology,Indoor-Outdoor,Battery powered solutions,2021,146
Innovation,Polte Partnership,Announced April 2019,2019,147
Innovation,C-LoC Technology,Cloud Location over Cellular,2019,147
Innovation,Indoor Accuracy,50 to 200 feet,2019,147
Reseller_Agreements,Geotab,Partner,2021,147
Reseller_Agreements,Netradyne,Partner,2021,147
Reseller_Agreements,Lytx,Partner,2021,147
Target_Assets,Vehicles,Supported,2021,146
Target_Assets,Trailers,Supported,2021,146
Target_Assets,Construction Equipment,Supported,2021,146
Target_Assets,Unpowered Assets,Supported,2021,146
Target_Assets,Indoor Equipment,Supported,2021,146
Target_Assets,Outdoor Equipment,Supported,2021,146
Asset_Examples,Roll-off Boxes,Monitored,2021,147
Asset_Examples,Frac Tanks,Monitored,2021,147
Asset_Examples,Gensets,Monitored,2021,147
Asset_Examples,Pumps,Monitored,2021,147
ELD,Configurations,"Hardwired, Bluetooth",2021,147
Geographic,Middle East,Market presence,2021,147
Geographic,Caribbean,Market presence,2021,147
Geographic,New Zealand,Market presence,2021,147
Geographic,Australia,Market presence,2021,147
Geographic,Africa,Market presence,2021,147
Customers,United Rentals,End user,2021,147
Customers,Consumers Energy,"Jackson, MI",2021,147
Customers,CBRE,End user,2021,147
Customers,Sheehy Mail Contractors,"Waterloo, WI",2021,147
Customers,Digicel,End user,2021,147
COVID_Impact,March-April 2020,15-20% fewer miles traveled,2020,147
COVID_Impact,Overall Impact,Muted,2020,147
Competitive_Advantage,End-to-End Solution,Complete solution capability,2021,147
Competitive_Advantage,Custom Integration,Custom maps and features,2021,147
Competitive_Advantage,Vertical Solutions,Custom hardware/firmware for specific markets,2021,147
Competitive_Advantage,Consulting Services,Integration services,2021,147
Use_Cases,Integration,Stitching disparate mobile assets,2021,146
Use_Cases,Enterprise Systems,Integrating telematics into ERP,2021,146
Use_Cases,Analytics,Additional analytics services,2021,146
Use_Cases,Business Intelligence,Dashboard creation,2021,146
Use_Cases,Machine Learning,Anomaly detection models,2021,146
