Company,Feature,Capability,Description,Page
Lytx,Video Storage,400 Hours,Delivers up to 400 hours to searchable dashboard,237
Lytx,Camera Views,Front and Rear,Front-facing and rear-facing cameras,238
Lytx,Auxiliary Cameras,Up to 4,Can add up to 4 additional cameras,238
Lytx,Camera Coverage,360-Degree View,High-quality video with night vision,238
Lytx,Driver ID,QR Code,Built-in functionality to identify drivers,238
Lytx,In-Cab Alerts,Light and Audio,Real-time configurable alerts for risky behavior,238
Lytx,MV+AI Road Triggers,Rolling Stop,Risk detection capability,239
Lytx,MV+AI Road Triggers,Speeding,Risk detection capability,239
Lytx,MV+AI Road Triggers,Lane Departure,Risk detection capability,239
Lytx,MV+AI Road Triggers,Following Distance,Risk detection capability,239
Lytx,MV+AI Road Triggers,Critical Distance,Risk detection capability,239
Lytx,MV+AI In-Cab Triggers,Handheld Device,Risk detection capability,239
Lytx,MV+AI In-Cab Triggers,No Seatbelt,Risk detection capability,239
Lytx,MV+AI In-Cab Triggers,Food or Drink,Risk detection capability,239
Lytx,MV+AI In-Cab Triggers,Driver Smoking,Risk detection capability,239
Lytx,MV+AI In-Cab Triggers,Lens Obstruction,Risk detection capability,239
Lytx,MV+AI In-Cab Triggers,Inattentiveness,Risk detection capability,239
Lytx,Real-Time Alerts,Tone and Voice,Provides real-time feedback to drivers,239
Lytx,Behavior Duration Reporting,MV+AI Powered,Tracks duration and percentage of risky behaviors,239
Lytx,Privacy Option,Risk ID Without Recording,Detects risky driving without in-cab video recording,239
