Company,Primary Target Segments,Fleet Size Focus,Equipment Types,Geographic Markets,Distribution Channel
ORBCOMM,Heavy equipment OEMs|Aftermarket,N/A,Heavy equipment|Oil & gas|Rail support,Global,OEM direct|Aftermarket
EquipmentShare,Construction|Industrial sectors,All sizes,Construction equipment|Tools|Vehicles,United States|New Zealand (licensee),Direct sales
ZTR,Rental companies|OEMs|Construction companies,N/A,Construction rental equipment|Oil & gas|Railway,North America|Europe|Asia-Pacific,OEM|Rental companies|Direct
Verizon Connect,Off-road vehicles and assets|Equipment rental companies,N/A,Heavy equipment|Trailers|Containers|PTOs|Generators|Other assets,N/A,Direct|Channel partners
CalAmp,Construction OEMs|Dealers|Rentals|Contractors,All sizes,Equipment of all sizes,Global,OEM|Dealers|Direct
LHP Telematics,Heavy equipment OEMs|Equipment dealers,N/A,Heavy equipment|Agricultural equipment|Transit|Motorcoach,Mostly U.S.,20 OEMs and 210 dealers (most volume through dealers)
Teletrac Navman,Trucking|Local fleets|Heavy construction equipment,N/A,On-road and off-road equipment,N/A,Direct|Channel
Trackunit,Companies with 100+ assets (250 optimal)|OEMs,100+ (250 optimal),Powered/non-powered off-road equipment|Construction|Rental,Global (North America ~25%),OEMs|Direct to construction/rental companies
Topcon Tierra,Heavy equipment OEMs (primary)|Aftermarket,N/A,Heavy equipment,Global,Primarily OEMs
Case Construction,End-user customers via dealers,N/A,Dozers|Backhoe loaders|Excavators|Motor graders|Wheel loaders|Forklifts|Compaction|Skid steers,Global,OEM (standard/optional equipment)
Doosan,End-user customers via dealers,N/A,Excavators|Wheel loaders|Lift trucks|Skid steers|Mini-excavators,Global,OEM (standard 3-year subscription)
Manitowoc,Crane operators|Rental companies,N/A,Mobile telescopic cranes|Tower cranes|Lattice-boom crawler cranes|Boom trucks,Global,OEM
Garmin,Commercial fleets|Owner-operators,N/A,Semi-trucks|Commercial vehicles|Cars,Global,Retail|OEM partnerships|MRM providers
Xirgo,MRM providers|Automotive|Asset management|Trucking,N/A,Heavy passenger/commercial fleets|Light vehicles|Assets,Global,Through telematics service providers
Danlaw,Automotive OEMs|Insurance carriers|Fleet providers,N/A,Light vehicles via OBD-II,North America|Europe|Asia,OEMs|Insurance carriers
Suntech,Telematics service providers,All sizes,Vehicles and assets,100+ countries (strong in Latin America),Factory direct to service providers
Geometris,Trucking|Service/delivery|Transit|Automotive|Heavy equipment,N/A,Trucks|Buses|Cars|Heavy trucks|Construction equipment|Assets,N/A,Telematics service providers
Queclink,Fleet management|UBI|Trailer monitoring|Cold chain,All sizes,Vehicles and assets,100+ countries,Telematics service providers
Quake Global,Asset tracking|Monitoring,N/A,Fixed and mobile assets|Rail cars,Global,OEMs|Direct
