Technology_Provider,Solution_Type,Target_Markets,Notable_Customers,Key_Features
Geotab,GPS fleet management hardware and platform,"Multiple industries, courier, pest control, utilities","UPS (entire fleet), Orkin Pest Control (since 2004)","MyGeotab platform with development kit, remote diagnostics, driver performance"
Lytx,DriveCam driver behavior management,"Waste disposal, motorcoach, armored car","Waste Management (nationwide), Greyhound Lines (First Group America), Loomis, Brinks",Camera-based driver behavior monitoring
Samsara,ELD and fleet management,Waste disposal,Clean Harbors (4700 vehicles),Hours of service and location monitoring
Verizon Connect,GPS fleet management,"Waste disposal, utilities",Many waste management and utility companies,Standard GPS fleet management
Teletrac Navman,GPS fleet management,"Waste disposal, utilities",Many waste management companies,Standard GPS fleet management
FleetMind,GPS fleet management,Waste disposal,McNeilus (factory-installed),Integration with cameras/scales/RFID tags for waste bins
Actsoft,Fleet monitoring,Waste disposal,Republic Services,Waste disposal truck monitoring
Zonar Systems,Telematics,"School bus, utilities","202000 U.S. school buses, many utilities","Factory-installed on Thomas Built buses, field service management"
Synovia Solutions (CalAmp),Telematics,School bus,120000 school buses via Blue Bird,Blue Bird Connect factory-equipped solution
WorkWave,PestPac field service management,Pest control,Many top 100 pest control companies,Field service management
Fleetistics (Geotab reseller),GPS fleet management,Pest control,Clark Pest Control (1000+ vehicles),Geotab-based solution
SmartDrive,Driver performance monitoring,Armored car,Loomis and Brinks (entire fleets),Driver behavior management
Five Cubits (Command Alkon),TrackIt fleet management,Ready-mix concrete,McNeilus customers (factory-installed),Integration with FLEX Controls platform
Command Alkon,Fleet management software,Ready-mix and aggregates,Industry-wide,Software and technology platform
Trimble,Construction logistics (sold),Ready-mix and aggregates,Historical leader,Sold to Command Alkon October 2020
ABB (Ventyx),Field force management,Utilities,American Water,Utility-focused field force automation
Clevest,Field force automation,Utilities,Various large utilities,Utility-focused solution
CalAmp,Fleet Outlook GPS,Utilities,Various large utilities,GPS fleet management
Transcor Data Services,Voyager GPS Tracking System,Motorcoach,Trailways network,DHS grant-funded deployment
Saucon Technologies,ELD and fleet management,Motorcoach,Coach USA (selected 2017),ELD compliance and fleet management
Transloc Inc. (Ford),Transit operation solutions,Campus shuttle/public transit,"87 U.S. colleges/universities (pre-acquisition), Duke, Auburn, UVA, Georgia Tech",Fixed route and on-demand transit
NextBus (Cubic),Transit solutions,Campus shuttle/public transit,"U of Maryland, UC Berkeley, Georgia Tech",Real-time transit information
DoubleMap/Ride Systems (Journey/Ford),Fleet management,Transit,Various (merged 2019),Transit vehicle fleet management
