Company,ELD_Solution_Name,Configuration_Types,FMCSA_Registration,Tablet_Provided,BYOD_Support,Hardware_Connection,Key_Features,Target_Market,Canada_2021_Preparation,Estimated_ELD_Units,Source_Page
GPS Trackit,ELD Fleet,Hardwired tablet / BYOD Bluetooth,Yes,Optional,Yes,Hardwire / Bluetooth,No contract BYOD option at $19.95/month,Existing customers subject to HOS or owner-operators,Not specified,45000 estimated (30% of 150K),127
Spireon,FleetLocate Compliance,Integrated with FL360,Yes,Not specified,Not specified,Expandable I/O,ELD / PTO / Starter disable / Driver ID,Small and mid-sized trucking fleets,Not specified,Not specified,128
NexTraq,ELD Solution,Hardwired ruggedized tablet / BYOD,FMCSA-registered,Optional,Yes,Hardwire / Bluetooth,Automatic driver assignment / 1-year data storage,Standard offering,Not specified,Not specified,132
Pedigree Technologies,Cab-Mate Open,BYOD Bluetooth,Yes,No,Yes,Bluetooth to telematics module,DVIR / IFTA / Separate malfunction indicator,Not ELD-only customers,Yes (expecting growth),40000,136
Pedigree Technologies,Cab-Mate Connect,Wired,Yes,No,Yes,Wired (increased reliability),DVIR / IFTA / Separate malfunction indicator,Not ELD-only customers,Yes (expecting growth),40000,136
Pedigree Technologies,Cab-Mate One,Wired (device in cradle),Yes,Yes,No,10-minute wired install,Telematics device built into cradle,Not ELD-only customers,Yes (expecting growth),40000,136
Pedigree Technologies,Cab-Mate Elite,Wired,Yes,Yes (ruggedized),No,Wired,Highly ruggedized tablet,Not ELD-only customers,Yes (expecting growth),40000,136
Pedigree Technologies,Mobile Phone Option,BYOD,Yes,No,Yes,Via app,Can run on mobile phone,Not ELD-only customers,Yes (expecting growth),40000,136
IntelliShift,ELD Application,Wireless link to app,Yes,Not specified,Yes (Android/iOS),Wireless to aftermarket ECM hardware,Automatic driver assignment,Fleet management + ELD,Not specified,Not specified,138
Forward Thinking Systems,ELD Solution,Hardwire or Bluetooth,Yes (developed in-house),Optional,Yes,Hardwire or Bluetooth to ECM,DVIR / Dispatch / Heavy demand since late 2017,Fleet management + ELD,Yes (2021 mandate),21000 estimated (30% of 70K),145
Rhino Fleet Tracking,ELD Solution,Bluetooth ECM plug-in,Yes,No,Yes (Android),Bluetooth to ECM plug-in,Not ELD-only,Not specified,Not specified,148
Insight Mobile Data,ELD,Proprietary and commercial tablets (Samsung),FMCSA self-certified,Yes,Yes,Via platform,IFTA / myScore gamification / Driver behavior,Fleet management + ELD,Not specified,Not specified,149
